GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,com.curriculum.auth.config,GlobalExceptionHandler,47,3,0,0,12,1,4,1,4,1
auth-service,com.curriculum.auth.config,AppConfig,11,0,0,0,3,0,3,0,3,0
auth-service,com.curriculum.auth.config,CorsConfig,40,3,0,0,9,1,1,1,1,1
auth-service,com.curriculum.auth.config,SecurityConfig,122,0,0,0,23,0,8,0,8,0
auth-service,com.curriculum.auth.application.dto,AuthResponse,43,33,0,0,20,12,12,4,12,4
auth-service,com.curriculum.auth.application.dto,ErrorResponse,26,0,0,0,12,0,6,0,6,0
auth-service,com.curriculum.auth.application.dto,LoginRequest,9,17,0,0,4,8,1,5,1,5
auth-service,com.curriculum.auth.application.dto,UpdateProgramRequest,16,0,0,0,8,0,4,0,4,0
auth-service,com.curriculum.auth.application.dto,FileUploadResponse,76,0,0,0,32,0,16,0,16,0
auth-service,com.curriculum.auth.application.dto,RegisterRequest,15,31,0,0,6,14,1,9,1,9
auth-service,com.curriculum.auth.controller,AuthController,116,0,2,0,34,0,7,0,6,0
auth-service,com.curriculum.auth.controller,AdminController,156,0,6,0,43,0,8,0,5,0
auth-service,com.curriculum.auth.controller,AuthController.ProgramUpdateResponse,33,0,0,0,12,0,6,0,6,0
auth-service,com.curriculum.auth.security,CustomUserDetailsService,53,0,2,0,15,0,4,0,3,0
auth-service,com.curriculum.auth.security,JwtService,111,0,4,0,34,0,7,0,5,0
auth-service,com.curriculum.auth.security,AuthEntryPointJwt,18,0,0,0,6,0,2,0,2,0
auth-service,com.curriculum.auth.security,JwtAuthFilter,103,0,12,0,30,0,8,0,2,0
auth-service,com.curriculum.auth.application.service,CurriculumImportService.new ByteArrayResource() {...},13,0,0,0,2,0,2,0,2,0
auth-service,com.curriculum.auth.application.service,CurriculumImportService,184,0,18,0,43,0,13,0,4,0
auth-service,com.curriculum.auth.application.service,AuthService,41,125,3,5,9,31,3,6,1,4
auth-service,com.curriculum.auth.application.service,AuditLogService,24,0,0,0,7,0,2,0,2,0
auth-service,com.curriculum.auth.application.service,CurriculumImportService.PythonUploadResponse,45,0,0,0,20,0,13,0,13,0
auth-service,com.curriculum.auth.domain.model,Student,3,9,0,0,2,3,1,2,1,2
auth-service,com.curriculum.auth.domain.model,Admin,12,0,0,0,5,0,3,0,3,0
auth-service,com.curriculum.auth.domain.model,LogEntry,69,0,0,0,29,0,15,0,15,0
auth-service,com.curriculum.auth.domain.model,User,23,30,0,0,11,11,6,6,6,6
auth-service,com.curriculum.auth.domain.model,Role,19,29,4,0,5,7,5,3,3,3
auth-service,com.curriculum.auth,AuthServiceApplication,5,3,0,0,2,1,1,1,1,1
